name,latitude,longitude,category
Inez Cross Park,49.79691916673591,-97.17721495303168,Park
Degrave-Templeton Buffer West,49.95976042528259,-97.15303542987,Park
Deer Lodge C.C,49.88223593851652,-97.22669071528078,Park
Strathmillan Lodge Park,49.87996813309789,-97.2501154529004,Park
George Minaker Park,49.880461892686384,-97.27180483563514,Park
Luigi D'Ottavio Park,49.88596804723435,-97.2047249000605,Park
Bord-Aire C.C,49.889517605936305,-97.21116058725288,Park
David Johnston Memorial Park,49.88397124681809,-97.21003073837478,Park
Jae Eadie Park,49.87700631054772,-97.20868967091542,Park
Riverbend Buffer,49.87921807503505,-97.205576167869,Park
Brooklyn Street South Park,49.8809178453001,-97.21027002068742,Park
Waterford Green Trail South,49.95661418733019,-97.20210995937964,Park
Creekside-Springwater Park,49.8043268665564,-97.19298737854862,Park
Redonda Lane Walkway-1,49.90110581980901,-96.98000522932257,Park
Dominion Bridge Park,49.90770985166986,-97.19483424800562,Park
Castlebury Entrance Park,49.9587015171104,-97.21030925983183,Park
Castlebury South Park,49.95722942528267,-97.21072396236855,Park
Joe Zuken Heritage Park,49.90679842780552,-97.13006710118349,Park
Bridgwater Lakes Paths,49.797122792425434,-97.21010123971284,Park
Transcona Centennial Square,49.89536842977514,-97.00487347760819,Park
Union Tot Lot,49.91207858460563,-97.10311503458556,Park
Redonda Lane Walkway-3,49.90265203644159,-96.98006987408732,Park
Carriere Avenue Park,49.872827167435986,-97.1103689388693,Park
Kern Park,49.898961883577265,-96.99802602122337,Park
McBeth Park Playground,49.957405572838674,-97.08573163853501,Park
"Andrew Mynarski, V.C. Park",49.95819267034922,-97.18604570028624,Park
Henteleff Greenfield,49.806578594326666,-97.12295986504452,Park
Ross Ellen Park,49.902959318009884,-97.14471332973373,Park
Northwood C.C,49.930647360857854,-97.17896651257449,Park
1924 St. Mary's Riverbank,49.813752777540714,-97.11424708813098,Park
Rivergate Drive Riverbank,49.81439544798845,-97.1143967000839,Park
Hap Hopkinson Memorial Park,49.90345775122334,-97.07468952622219,Park
Copper Meadow Park,49.82353651903784,-97.03673223019052,Park
