name,latitude,longitude,art_type
Upper Fort Garry Gateway,49.8879913,-97.1353427,attraction
Winnipeg Railway Museum,49.8889426,-97.1340611,museum
Louis Riel,49.8827875,-97.1459476,artwork
Unnamed,49.7597831,-97.1504902,attraction
Cinema City Northgate,49.940594,-97.1558812,cinema
CNR Locomotive 6043,49.8675367,-97.2269836,attraction
Prairie Theatre Exchange,49.8926098,-97.1479666,theatre
Unnamed,49.8945717,-97.1114682,attraction
Polar Bear Lane - Christmas Lights,49.8339645,-97.1841939,attraction
Nutcracker Lane - Christmas Lights,49.8354043,-97.1868222,attraction
Candy Cane Lane - Christmas Lights,49.8297763,-97.1871622,attraction
Reindeer Run - Christmas Lights,49.8320212,-97.1984849,attraction
St. Vladimir,49.9160378,-97.149416,artwork
Fort Garry Horse Museum & Archives,49.9277403,-97.140343,museum
Fire Fighters Museum,49.9037527,-97.1317039,museum
Unnamed,49.8749531,-97.2358968,artwork
Unnamed,49.8748695,-97.2357832,artwork
Plug In Institute of Contemporary Art,49.8904395,-97.1512172,gallery
Prairie Dog Central Railway,49.9521008,-97.2703192,attraction
Red River Passage,49.8064093,-97.1344811,artwork
Unnamed,49.8877754,-97.1464704,artwork
Unnamed,49.8765549,-97.2313731,artwork
Unnamed,49.8332885,-97.1359759,artwork
Unnamed,49.8328253,-97.1366861,artwork
Unnamed,49.8327322,-97.1365804,artwork
Gallery 1C03,49.8919129,-97.153199,gallery
Ox Cart,49.8677555,-97.2299507,artwork
Unnamed,49.8720575,-97.2301776,gallery
Cinematheque,49.8979489,-97.1407442,cinema
Wall Mural by Art City,49.885808,-97.1557417,artwork
Jon Sigurdsson,49.8858587,-97.1463285,artwork
Golden Boy,49.8844537,-97.1468443,artwork
Kwakiutl Totem Pole,49.8830318,-97.1445519,artwork
Victims of War Monument,49.8830478,-97.1473139,artwork
Ukrainian Famine–Genocide Monument,49.8992777,-97.1391101,artwork
Volunteer Monument,49.8998999,-97.1373641,artwork
River Arch,49.8822349,-97.129461,artwork
Park Theatre,49.8621862,-97.1318481,theatre
Historical Museum of Saint James-Assiniboia,49.8805183,-97.2881596,museum
Actual,49.9013392,-97.1408277,gallery
Louis Riel statue,49.8893855,-97.1192985,artwork
CF-5 Fighter,49.8852899,-97.2406023,attraction
Voodoo Aircraft,49.8906112,-97.2365409,attraction
CF-104 Starfighter,49.8902933,-97.2372302,attraction
Sabre Aircraft,49.8901741,-97.236388,attraction
Tracker Aircraft,49.8892979,-97.2376325,attraction
Challenger Aircraft,49.8897662,-97.2367662,attraction
Harvard Aircraft,49.8901533,-97.235527,attraction
Silver Star Aircraft,49.8900237,-97.2364336,attraction
Helicopter,49.8896937,-97.237536,attraction
Radar Antenna,49.8892409,-97.2368252,attraction
Unnamed,49.888154,-97.2375869,attraction
Celebrations Dinner Theatre,49.8237734,-97.1515826,theatre
No. 1 Northern,49.8942934,-97.1373204,artwork
Unnamed,49.8083352,-97.135574,artwork
Unnamed,49.8082694,-97.1372801,artwork
Unnamed,49.8082876,-97.1372084,artwork
Unnamed,49.8083469,-97.137197,artwork
Unnamed,49.8070669,-97.1364347,artwork
Black Hole Studio,49.8112229,-97.1309999,theatre
Bishop Velychkovsky Martyr’s Shrine,49.9343125,-97.1220517,museum
Woody-Mhitik (Spirit Tree),49.8300455,-97.084381,artwork
Land/Mark,49.8367721,-97.0999941,artwork
Martha Street Studio,49.9003742,-97.1352736,arts_centre
Bandwidth Theatre,49.8930527,-97.1584242,cinema
Tree Children,49.8957577,-97.1381027,artwork
Seal River Crossing,49.8957291,-97.1376142,artwork
North Watch,49.8961067,-97.1382965,artwork
Unnamed,49.8954847,-97.1385271,artwork
Old Zoo Entrance,49.8718994,-97.2368408,attraction
Path of Time,49.8891304,-97.1284738,artwork
Forum Art Centre,49.8793571,-97.1235429,artwork
Maison Gabrielle Roy House,49.8902247,-97.1110254,museum
Lisa Kehler Art + Projects,49.8973755,-97.1372268,artwork
Bud Grant,49.8067493,-97.1434499,artwork
John J. Conklin Theatre,49.808047,-97.1314689,theatre
Grain Is King,49.8954813,-97.1328604,artwork
Unnamed,49.8970726,-97.1335873,artwork
Unnamed,49.901086,-97.1281102,artwork
Gateway to the West,49.901359,-97.1336115,artwork
Unnamed,49.9009659,-97.134054,artwork
Imagine,49.8986034,-97.1362749,artwork
Soul Gallery,49.8966173,-97.1401165,gallery
Unnamed,49.8966087,-97.1404772,gallery
Unnamed,49.9017577,-97.1217997,artwork
Pursuit,49.947883,-97.0829773,artwork
High Five,49.8945069,-97.1320274,artwork
Little Red Library,49.8731899,-97.1526244,attraction
Canadian Pacific Holiday Train,49.9092461,-97.06696,attraction
Charleswood Museum,49.8574782,-97.2850103,museum
Indoor Soccer,49.9694738,-97.0185877,attraction
Cubes,49.8109422,-97.1310025,artwork
Cal Murphy,49.8091378,-97.1421078,artwork
Assiniboine Valley Railway,49.8702098,-97.2497807,attraction
Winnipeg Police Museum,49.8917228,-97.14069,museum
Rooster Town Kettle,49.8480138,-97.1663656,artwork
Row Row Row,49.8347767,-97.162396,artwork
Métis Land Use,49.8080301,-97.1571356,artwork
テンサイ (Tensai),49.8221666,-97.1559437,artwork
Salt Fat Sugar & Your Water is Safe,49.8298931,-97.1584017,artwork
Fetching Water,49.850787,-97.1583271,artwork
Fetching Water,49.8503463,-97.1597764,artwork
Unnamed,49.8867584,-97.1241966,artwork
Unnamed,49.8784943,-97.148012,artwork
Unnamed,49.8784033,-97.1483088,artwork
Unnamed,49.8784358,-97.1480875,artwork
Unnamed,49.8910873,-97.1479053,artwork
Niimaamaa,49.8838741,-97.1308163,artwork
Education is the New Bison,49.8849786,-97.129629,artwork
Unnamed,49.8985375,-97.1324227,artwork
A Century of Solidarity,49.8884276,-97.1384324,artwork
Unnamed,49.8789738,-97.1407978,artwork
Sidestage,49.8620917,-97.1317866,theatre
a little art boutique,49.8701358,-97.1557506,gallery
Unnamed,49.874297,-97.2362023,artwork
Unnamed,49.8903655,-97.1438827,artwork
Dale Hawerchuk,49.8916177,-97.144207,artwork
Unnamed,49.8203103,-97.1467218,artwork
Unnamed,49.8879061,-97.1302626,artwork
Mayart school,49.811656,-97.172296,artwork
OUTCROPPINGS,49.8498489,-97.1784309,artwork
Fetching Water,49.8505571,-97.1591121,artwork
Furrows in the Land (The Wheel),49.8429256,-97.1689637,artwork
Furrows on the Land (The Field),49.8374169,-97.1644896,artwork
(Un)Still Life with Spoked Wheels,49.8149793,-97.1567279,artwork
(Un)Still Life with Spoked Wheels,49.8187615,-97.1571759,artwork
Métis Land Use,49.8082424,-97.1575581,artwork
Métis Land Use,49.8086145,-97.1573946,artwork
Cineplex Junxion,49.8990629,-97.0619251,cinema
Golem's Pelt,49.8088877,-97.1346754,artwork
Unnamed,49.8088608,-97.1349747,artwork
Victoria's Steam,49.8986962,-97.132588,artwork
You Thespian,49.8983017,-97.1328711,artwork
Back Alley Arctic,49.8804602,-97.1668762,artwork
Unnamed,49.8856704,-97.1669132,artwork
Unnamed,49.9223634,-97.2009001,theatre
Gail Asper Performing Arts Hall,49.8080138,-97.1314389,theatre
Forever Bicycles,49.8073606,-97.1319457,artwork
School of Art Student Gallery,49.8079801,-97.1314036,gallery
School of Art Gallery,49.8086652,-97.1303279,gallery
Rumor's Comedy Club,49.8677034,-97.2138986,theatre
Unnamed,49.8889954,-97.1505142,artwork
Unnamed,49.8889609,-97.1502641,artwork
Unnamed,49.8898184,-97.150522,artwork
Unnamed,49.8897666,-97.1504831,artwork
Unnamed,49.8617106,-97.1594825,artwork
Unnamed,49.8843888,-97.1784991,artwork
Gas Station Arts Centre,49.8796385,-97.1459215,theatre
Pavilion Gallery Museum,49.8721363,-97.2302896,museum
Berney Theatre,49.8721399,-97.2087513,theatre
Jewish Heritage Centre of Western Canada,49.8724177,-97.2087817,museum
Eckhardt-Gramatté Hall,49.8914424,-97.1532788,theatre
Unnamed,49.8789341,-97.331629,artwork
FortWhyte Alive,49.8296089,-97.2237333,attraction
Manitoba Legislative Grounds,49.8841628,-97.1466153,attraction
Children's Museum,49.8875802,-97.1282921,museum
Centennial Concert Hall,49.8994195,-97.1370749,theatre
Burton Cummings Theatre,49.8957853,-97.1436425,theatre
Pantages Playhouse,49.8988511,-97.1381036,theatre
Royal Manitoba Theatre Centre Mainstage,49.8985131,-97.1368027,theatre
Manitoba Theatre for Young People,49.8882452,-97.1308187,theatre
Grant's Old Mill,49.8793453,-97.2753692,museum
Manitoba Electrical Museum,49.8559325,-97.1551288,museum
Inkster Junction Station,49.9517456,-97.2699516,attraction
Rainbow Stage,49.9421004,-97.1007348,theatre
Lyric Theatre,49.8725957,-97.2292668,theatre
Fort Gibraltar,49.8993153,-97.1256588,attraction
Agowiidiwinan Centre,49.8868326,-97.1300476,museum
Oodena Celebration Circle,49.8868809,-97.1288612,theatre
Unnamed,49.8891895,-97.1272214,theatre
Ukrainian Cultural and Educational Centre (Oseredok),49.9012518,-97.1358872,museum
Dalnavert Museum & Visitors’ Centre,49.8859858,-97.1418187,museum
The Cube,49.8986328,-97.1404601,theatre
Tom Hendry Warehouse Theatre,49.8996652,-97.1347418,theatre
Living Prairie Museum,49.8877574,-97.2718403,museum
St. Norbert Farmers Market,49.7671907,-97.1545714,attraction
Bleak House,49.9328539,-97.1199852,museum
Ross House Museum,49.9069671,-97.1296246,museum
Saint Boniface Museum,49.8878041,-97.1230963,museum
Centre culturel franco-manitobain,49.8935214,-97.1140497,attraction
Canadian Museum for Human Rights,49.8906429,-97.1310927,museum
Trappist Monastery Provincial Park,49.7569321,-97.1543814,attraction
Riel House,49.819326,-97.1362029,museum
Riel House Exhibit Panels,49.8190289,-97.1360981,museum
Grand Prix Amusements,49.8510764,-97.0061818,attraction
West End Cultural Centre,49.8926185,-97.1585071,theatre
Saint Vital Historial Society and Museum,49.8634241,-97.1116168,museum
Witch's Hut,49.9442899,-97.0999281,attraction
Théâtre Cercle Molière,49.8938122,-97.11419,theatre
Seven Oaks House Museum,49.9302349,-97.1168211,museum
Royal Aviation Museum of Western Canada,49.9013092,-97.2243974,museum
Unnamed,49.8685029,-97.2226357,theatre
Performance Garden,49.8685047,-97.2226539,theatre
Desautels Concert Hall,49.8076019,-97.1318834,theatre
