complex_name,address,arena,community_centre,indoor_pool,indoor_soccer,library,outdoor_pool,fitness_leisure_centre,skate_park,spray_pad,wading_pool,location_1,geometry,:@computed_region_6rfj_69jf,:@computed_region_38v8_cedi
Home Playground,772 Sargent Ave,False,False,False,False,False,False,False,False,False,True,"{'latitude': '49.896698213250716', 'longitude': '-97.16721923928246', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'MultiPolygon', 'coordinates': [[[[-97.16721923928246, 49.896698213250716], [-97.16723959457805, 49.89642316504316], [-97.16711929220847, 49.89641944597588], [-97.16699898982667, 49.89641572768291], [-97.1668786875008, 49.89641200836632], [-97.16681771015595, 49.89641012390248], [-97.16675838655432, 49.89640828984606], [-97.16675817911077, 49.89641108131011], [-97.16633611684139, 49.89639803560216], [-97.16632940758622, 49.896488775319995], [-97.166322699727, 49.896579514158866], [-97.16631598990115, 49.89667026735707], [-97.16709893908288, 49.8966944924009], [-97.16721923928246, 49.896698213250716]]]]}",3,29
Melrose Park C.C,480 Kimberly Ave,False,True,False,False,False,False,False,False,False,False,"{'latitude': '49.92270872041049', 'longitude': '-97.09477416834207', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'MultiPolygon', 'coordinates': [[[[-97.09477416834207, 49.92270872041049], [-97.09371702331826, 49.922356987561905], [-97.09345054246984, 49.92269072583895], [-97.09284863736215, 49.92249051342146], [-97.09272411697917, 49.92244909346377], [-97.09268403858398, 49.92245737068446], [-97.09188561471957, 49.92345746003915], [-97.09294217679523, 49.92380898912502], [-97.09337928811242, 49.923260669750306], [-97.09413402454477, 49.923511768509876], [-97.09477416834207, 49.92270872041049]]]]}",1,112
Transcona Stadium Complex,1121 Wabasha St,True,False,True,False,False,True,False,False,True,True,"{'latitude': '49.900882276795585', 'longitude': '-97.00073723995095', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'MultiPolygon', 'coordinates': [[[[-97.00073723995095, 49.900882276795585], [-96.99819254478365, 49.90092027939622], [-96.99815200384293, 49.903058050683754], [-96.9994479222668, 49.903038599347475], [-96.99945388527382, 49.90272078632963], [-96.99953879809222, 49.902719509121205], [-97.00059282556253, 49.902703655644274], [-97.00063574715465, 49.902675613334324], [-97.00064032416591, 49.90242902682616], [-97.0006437192701, 49.90224804482313], [-97.0006548236853, 49.90165621618483], [-97.0006582185589, 49.901475235056125], [-97.00072613521262, 49.90147421614024], [-97.00073127708458, 49.90120016998433], [-97.00073723995095, 49.900882276795585]]]]}",9,134
Morse Place C.C,700 Munroe Ave,False,True,False,False,False,False,False,False,False,True,"{'latitude': '49.91194229515091', 'longitude': '-97.0851800745668', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'MultiPolygon', 'coordinates': [[[[-97.0851800745668, 49.91194229515091], [-97.08516174390651, 49.91190539694421], [-97.08265678172951, 49.911073461422205], [-97.08171713724319, 49.91225387220942], [-97.08425938751847, 49.91309822197816], [-97.0851800745668, 49.91194229515091]]]]}",1,89
William Whyte School Wading Pool,200 Powers St,False,False,False,False,False,False,False,False,False,True,"{'latitude': '49.91800038174194', 'longitude': '-97.1441206970615', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'MultiPolygon', 'coordinates': [[[[-97.1441206970615, 49.91800038174194], [-97.14434105861619, 49.91771589685292], [-97.14435619854072, 49.91769627016044], [-97.14439040337116, 49.91770725626248], [-97.14459553691994, 49.91744236605309], [-97.14451189923592, 49.917415512825094], [-97.14438645227136, 49.91737523589132], [-97.14426100551867, 49.91733495882392], [-97.14413555758563, 49.91729468160058], [-97.14401011129118, 49.917254403366954], [-97.14388466517408, 49.917214125898624], [-97.14375921926887, 49.91717384829665], [-97.14363377218329, 49.917133570538745], [-97.14350832670179, 49.9170932926695], [-97.14338288143217, 49.91705301466661], [-97.14325743640894, 49.91701273563113], [-97.14313199017086, 49.91697245733867], [-97.14300654553685, 49.91693217893488], [-97.1428811011147, 49.916891900397445], [-97.14266094939421, 49.91717623931228], [-97.14244079647594, 49.91746057688968], [-97.14256621598847, 49.917500879782445], [-97.14269163574748, 49.91754118164268], [-97.1428170556839, 49.9175814842683], [-97.14294247722454, 49.917621786782625], [-97.14306789761942, 49.91766208824211], [-97.14319331819172, 49.91770239046697], [-97.1433187403682, 49.91774269258053], [-97.14344416139893, 49.91778299363927], [-97.14356958260709, 49.91782329546338], [-97.14369500541945, 49.917863597176186], [-97.14382042708601, 49.91790389783417], [-97.14394584893004, 49.91794419925751], [-97.14407127237826, 49.91798450056955], [-97.1441206970615, 49.91800038174194]]]]}",4,138
Kirkfield-Westwood C.C - McBey Site,3160 McBey Ave,False,True,False,False,False,False,False,False,False,False,"{'latitude': '49.87748564300172', 'longitude': '-97.28810042752058', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'MultiPolygon', 'coordinates': [[[[-97.28810042752058, 49.87748564300172], [-97.28818820164845, 49.876739939702084], [-97.28812097826037, 49.87673558911846], [-97.28822814777288, 49.8758267162776], [-97.2867186024545, 49.87578582235336], [-97.28670781994401, 49.87587931279361], [-97.28669206392877, 49.87601593767934], [-97.2866763077831, 49.876152563457914], [-97.28666055157063, 49.87628918833132], [-97.28664479525958, 49.876425813198544], [-97.28662903884991, 49.8765624380596], [-97.28661328234162, 49.876699062914476], [-97.28659752570293, 49.87683568866222], [-97.28658176899744, 49.87697231350477], [-97.28656601080218, 49.877108938320575], [-97.28655025389946, 49.87724556315077], [-97.28653449689814, 49.8773821879748], [-97.2865187397982, 49.877518812792665], [-97.28658636210396, 49.87752222303278], [-97.28659896967788, 49.87741288876009], [-97.28709033468066, 49.877436700374545], [-97.28736935335553, 49.87745022072059], [-97.28803291714586, 49.87748237215882], [-97.28810042752058, 49.87748564300172]]]]}",14,97
West Kildonan Memorial C.C,346 Perth Ave,True,True,False,False,False,False,False,False,False,True,"{'latitude': '49.936722081656505', 'longitude': '-97.12726548119461', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'MultiPolygon', 'coordinates': [[[[-97.12726548119461, 49.936722081656505], [-97.12714010252975, 49.936681678604636], [-97.12676396770598, 49.936560471345125], [-97.12663858989137, 49.936520067759446], [-97.12638783483014, 49.9364392619856], [-97.12618267186978, 49.93637314727711], [-97.12596005765991, 49.936661441734245], [-97.12561261430477, 49.93711138951995], [-97.12557474086813, 49.937160434914304], [-97.12535227332643, 49.937448529986085], [-97.12550493913109, 49.93749775474873], [-97.12643534761176, 49.93779774431244], [-97.1265337261386, 49.93767022162923], [-97.1266576703054, 49.937509558507976], [-97.12691783661249, 49.93717231068899], [-97.12704273397864, 49.93701040838863], [-97.12726548119461, 49.936722081656505]]]]}",4,102
Transcona Library,111 Victoria Ave W,False,False,False,False,True,False,False,False,False,False,"{'latitude': '49.895979239820825', 'longitude': '-97.00341994622256', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'MultiPolygon', 'coordinates': [[[[-97.00341994622256, 49.895979239820825], [-97.00342296199301, 49.89618958914085], [-97.00342387514742, 49.89625328236272], [-97.00354182178627, 49.89625395831535], [-97.00365976846902, 49.8962546332491], [-97.0036588928753, 49.89619365271209], [-97.00365583369906, 49.895980598716875], [-97.00353788926165, 49.895979919316865], [-97.00341994622256, 49.895979239820825]]]]}",9,175
St. Norbert C.C,3450 Pembina Hwy,True,True,False,False,False,False,False,False,True,False,"{'latitude': '49.769069982005114', 'longitude': '-97.15633928462545', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'MultiPolygon', 'coordinates': [[[[-97.15633928462545, 49.769069982005114], [-97.15595271868587, 49.76817218536057], [-97.15524364332623, 49.76738417849607], [-97.15235251367064, 49.768391869961555], [-97.15257679407023, 49.769851115464995], [-97.15260098812571, 49.76985240085428], [-97.15262518217992, 49.76985368623849], [-97.15265690111414, 49.769859589219344], [-97.15276509679289, 49.76986311375449], [-97.15280038928928, 49.76986922240505], [-97.15285747768965, 49.769880778289085], [-97.1528851693638, 49.76988301891252], [-97.15293208801944, 49.769890963234694], [-97.15312750162072, 49.76993905971663], [-97.15323224647089, 49.76995961497766], [-97.15325135412996, 49.76996258719496], [-97.15327506958293, 49.76996569482656], [-97.15331264818616, 49.76996359538363], [-97.15332507189126, 49.769965592487225], [-97.15336748503546, 49.76998245998489], [-97.1534350189569, 49.7699961298638], [-97.15349946944113, 49.770017846213754], [-97.1535637634197, 49.770037409694204], [-97.15363121491919, 49.770059525110064], [-97.1536650610936, 49.77008255256737], [-97.15368530049463, 49.77009816698455], [-97.15370516415776, 49.77012367010924], [-97.15373532460458, 49.7701340455427], [-97.15377743062258, 49.770159003656694], [-97.15382847957508, 49.77016791296295], [-97.15387519372995, 49.77018125075036], [-97.15391056473825, 49.77020070436445], [-97.15391885864928, 49.77020173606693], [-97.15395789373349, 49.77019786059023], [-97.1539842051597, 49.770200081647545], [-97.15399926083393, 49.77020571600132], [-97.15404140734472, 49.770230695973034], [-97.15404814710398, 49.770234367770485], [-97.15409464571827, 49.77025401103359], [-97.15410984555461, 49.77025605229274], [-97.15414566067821, 49.77026381917568], [-97.15418637900794, 49.77028875502543], [-97.15425593834196, 49.77032224609579], [-97.15429187805609, 49.77036329708856], [-97.15429282214293, 49.770375005867294], [-97.1543023674123, 49.770380566861675], [-97.15432731906711, 49.77038960496142], [-97.15478412477346, 49.77023038493793], [-97.15407203626583, 49.76986025550127], [-97.15633928462545, 49.769069982005114]]]]}",7,80
Vimy Ridge Memorial Park,821 Preston Ave,False,False,False,False,False,False,False,False,True,True,"{'latitude': '49.884154489641325', 'longitude': '-97.16814659829875', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'MultiPolygon', 'coordinates': [[[[-97.16814659829875, 49.884154489641325], [-97.16652127683204, 49.88411120876769], [-97.16636899776903, 49.88615911393767], [-97.16642551311935, 49.88618603420784], [-97.16668240957311, 49.88611693493848], [-97.16695000450792, 49.88606443425699], [-97.16802655261068, 49.88577485579547], [-97.16814659829875, 49.884154489641325]]]]}",3,14
T. R.  Hodgson Park,303 Lockwood St,False,False,False,False,False,False,False,False,False,True,"{'latitude': '49.86814267871149', 'longitude': '-97.20397942811356', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'MultiPolygon', 'coordinates': [[[[-97.20397942811356, 49.86814267871149], [-97.2034289661533, 49.86812096895809], [-97.20342891851851, 49.86812147283292], [-97.20334427996177, 49.86811762876776], [-97.20279382004138, 49.868095916025375], [-97.20278088452207, 49.86823269855461], [-97.20276794891952, 49.8683694810785], [-97.20275501462456, 49.86850626361865], [-97.20274207882211, 49.86864304703086], [-97.20272914436063, 49.86877982956032], [-97.20271620842503, 49.86891661206288], [-97.20271103375597, 49.86897132487831], [-97.20267740150949, 49.86932695956011], [-97.20287501602694, 49.86933474796712], [-97.20307262922593, 49.86934253601629], [-97.20327024388827, 49.869350323750766], [-97.20346785862304, 49.869358111148976], [-97.20366547203936, 49.86936589818937], [-97.203863086919, 49.869373684915054], [-97.20389669755527, 49.86901806128899], [-97.20390186804379, 49.868963350161174], [-97.20391479491899, 49.868826571899234], [-97.20392772174431, 49.86868979273295], [-97.2039406484531, 49.86855301446033], [-97.20395357507867, 49.86841623618237], [-97.20396650162105, 49.86827945789909], [-97.20397942811356, 49.86814267871149]]]]}",5,202
