name,latitude,longitude,cuisine
Cafe Dario,49.9008927,-97.1840138,international
Casa Ilocandia,49.8974724,-97.1843611,
Bangkok Thai,49.8791502,-97.1460161,thai
Unnamed Restaurant,49.8384636,-97.1517606,
chop Steakhouse and Bar,49.8974309,-97.2033944,
The Old Spaghetti Factory,49.8869023,-97.129657,italian
SMITH Restaurant,49.8878711,-97.1299306,fine_dining
Wok Box,49.8244713,-97.2074395,asian
Applebee's,49.8976493,-97.0684594,american
Montana's,49.897168,-97.064224,barbecue
Salisbury House,49.8961973,-97.0635017,diner; canadian
Moxie's,49.8821748,-97.1985804,bar_and_grill
Smitty's,49.78946,-97.1581365,pancake
Mongo's Grill,49.8198171,-97.1980525,mongolian_grill
Bellissimo Restaurant and Lounge,49.8446662,-97.1804213,italian
Cora's,49.8487693,-97.1776602,regional
Golden Loong,49.8096247,-97.154132,asian
Dim Sum Garden,49.7950649,-97.1580847,chinese
South Ocean Restaurant,49.8169029,-97.1955534,chinese
Clay Oven,49.823456,-97.2077985,indian
Umi Sushi,49.823372,-97.201447,sushi
Sushi Place,49.9590403,-97.0921652,
Sushi Place,49.9488159,-97.1531424,
Hooters,49.8913799,-97.1990058,burger
Unnamed Restaurant,49.8931768,-97.1622083,vietnamese
Hong Hing,49.8931765,-97.1629501,chinese
Casa Grande,49.8970632,-97.1817587,italian
Unnamed Restaurant,49.8855352,-97.0222958,
Tom Yum,49.9040539,-97.1555791,thai
Southland Chinese Food Restaurant,49.7884015,-97.1583279,chinese
MOMO Korean & Japanese Restaurant,49.7879748,-97.1587414,korean;japanese
Pizza Place,49.7877642,-97.158763,pizza
Sushi Hon,49.8252126,-97.2070181,sushi
Daltons Restaurant & Lounge,49.9018878,-97.2031935,
Bistro 1800,49.9008759,-97.2082645,
Little Seoul,49.8223867,-97.1550273,korean
Pizza Pizza,49.8270572,-97.1517636,pizza
Newdale Cafe,49.7845972,-97.157731,
Sakura,49.8189424,-97.193469,sushi
Pizza Hotline,49.8190079,-97.1935152,pizza
Bombay Burger,49.7908216,-97.1567571,
Sura Japanese Restaurant,49.7908172,-97.1582301,japanese;korean
Pizza Hotline,49.791069,-97.1582598,pizza
Deluca's,49.884585,-97.1732977,italian
The Peppermill,49.8910402,-97.1512855,
Clay Oven,49.893057,-97.133133,indian
Thirsty Duck Restaurant,49.9112399,-97.104334,chinese
Wasabi Sabi,49.8510269,-97.1769951,sushi
Dowon Restaurant,49.8356418,-97.1502413,vietnamese
Bodegoes,49.8980747,-97.1401071,sandwich;noodle;mexican;mediterranean;salad
Szechuan Restaurant,49.8315733,-97.151383,chinese
Izakaya Japanese Restaurant and Sushi Bar,49.831458,-97.1514254,japanese;sushi
Buffalo Stone Cafe,49.8202762,-97.225336,regional
Southbound Isabel at William;Ding Ho,49.9022366,-97.1494265,chinese
Unnamed Restaurant,49.8629357,-97.077042,
Café 22,49.8699672,-97.1562834,pizza
Wako Sushi,49.8693894,-97.158028,sushi
Pizza Hut,49.8707236,-97.1531799,pizza
Stella’s,49.8905708,-97.1511649,
Burger Plus Restaurant,49.8963105,-97.1556635,greek;sandwich
Dragon River,49.8965573,-97.1556507,chinese
Little Korea,49.892957,-97.1551365,korean
Harman's Cafe,49.8963957,-97.1575688,ethiopian
Hot Pot House,49.8959017,-97.15459,vietnamese
Martini's,49.8970761,-97.1697021,italian
Nou Eul Tor,49.8966083,-97.1646393,korean
O Tacho Restaurante,49.8965658,-97.1642653,portuguese
Pasalubong,49.896753,-97.1690782,filipino
Pho Hoang,49.8966063,-97.1679126,vietnamese
Pho Hoi An,49.8960982,-97.1544092,vietnamese
Rice Bowl,49.8967286,-97.161548,vietnamese
Thanh Huong,49.8963063,-97.1553618,chinese;vietnamese
Terrace in the Park,49.8722368,-97.2302532,
Danny's BBQ and Smokehouse,49.894819,-97.2071756,vietnamese
Elements,49.8893688,-97.1566818,
Atiga,49.9001595,-97.1426325,
Sum Hai,49.9030551,-97.1369915,chinese
12 resto bar,49.8937433,-97.1424473,
Casablanca Restaurant and Lounge,49.892693,-97.1455118,moroccan
Peasant Cookery,49.8984457,-97.1412672,french
Kay's Deli,49.9002531,-97.143051,
Underground Cafe,49.8970082,-97.1414428,
Kimchi Cafe,49.8965227,-97.1401326,
Yuki Sushi,49.9007204,-97.1377079,japanese
Dim Sum Garden,49.9015151,-97.1391053,chinese
Noodle Express,49.901256,-97.1393171,chinese
Corrientes Argentine Pizzeria,49.8975624,-97.1358903,pizza;argentinian
Kevin's,49.8975834,-97.1360268,macaroni_and_cheese;comfort_food
Salisbury House,49.896253,-97.0258042,burger
Charisma of India,49.8813274,-97.1591991,indian
Blufish,49.8980068,-97.1376214,sushi
Hermanos Restaurant,49.8979718,-97.1374445,
Saddlery on Market,49.898043,-97.1349599,
The Crusty Bun,49.83918,-97.1130628,sandwich
Cibo Waterfront Café,49.8988128,-97.1320206,mediterranean
The Park Café,49.8731523,-97.2333291,
Spotted Cow Iced Cream,49.9591222,-97.0922733,
Deer + Almond,49.8978426,-97.1424416,
Joey's Seafood Restaurant,49.8838055,-97.3012669,
Sushi Maru,49.8841346,-97.3012333,
Pizza Hut,49.8835742,-97.3012334,pizza
Diana's Cucina Pizza,49.8234215,-97.0852858,pizza
Roasted Nomad Coffee & Brunch,49.882176,-97.1092275,coffee_shop;brunch
Famena’s Famous Roti,49.8939853,-97.1404695,roti;caribbean;curry;guyanese
Best Pizza & Donair,49.835934,-97.1510511,kebab
Aaltos,49.8242807,-97.1517802,
Era Bistro,49.8906838,-97.1303555,
Stella’s au CCFM,49.8934883,-97.114029,
Restö,49.8337482,-97.1394536,
Cora's,49.8859727,-97.1979795,
King + Bannatyne,49.8982085,-97.1413348,sandwich
Daily Bread Cafe,49.8111026,-97.136522,
Burrito Splendido,49.8960119,-97.0636622,mexican
Mongo's Grill,49.8958779,-97.0637207,mongolian_grill
Bernstein's,49.8631112,-97.1974895,
Feast Café Bistro,49.8930567,-97.158528,regional
The Merchant Kitchen,49.8941529,-97.1439686,
Clay Oven Express,49.8917237,-97.1466467,indian
Marcello's,49.8924657,-97.1460967,
Kawaii Crepe,49.8786606,-97.1462613,japanese
Spicy Noodle House,49.8787431,-97.1463353,chinese
Pizza Hut,49.8229209,-97.1493929,pizza
The Chilli Chutney,49.8229167,-97.2010826,
Henderson Burgers & Subs,49.9139437,-97.1156517,
Johnny's Marion Restaurant,49.8817942,-97.1096383,
Rudy's Eat and Drink,49.8916307,-97.1461368,
Cordova Tapas & Wine,49.8975991,-97.1401083,tapas
Watt Street Bistro,49.9229605,-97.0919127,
Tabula Rasa,49.8614995,-97.1316972,
Cafe 22,49.8912921,-97.1245507,pizza
Enoteca,49.8634491,-97.1959972,
Kai Ping Restaurant,49.863462,-97.1961072,
Snabusen,49.8961669,-97.0263804,
Nikos Restaurant,49.8706279,-97.1528579,greek
Timmy Tom's Pizzeria,49.8324841,-97.2084088,pizza
Taverna Rodos,49.8578253,-97.28645,
Jeffrey's Restaurant,49.9454352,-97.0867827,
Olive Garden,49.9027335,-97.0649157,italian
Unnamed Restaurant,49.9234499,-97.0527438,
Clementine Cafe,49.8990079,-97.1415298,
Ben & Florentine,49.8166689,-97.1961093,
Garwood Grill,49.868533,-97.146052,
BIMI Korean/Japanese Restaurant,49.8578064,-97.2052369,
Stella's Cafe,49.8577943,-97.2053415,
Tehran Market & Cafe,49.821574,-97.154449,persian
IGI BBQ Grill & Sushi Bistro,49.8217526,-97.1547041,sushi;barbecue
Affinity Vegetarian Garden,49.8901359,-97.1462466,chinese
KG Saigon,49.8966795,-97.1712958,vietnamese
The Yellow Deli,49.888254,-97.1114225,
Pasquale's,49.8814974,-97.1241731,
Freshii,49.8907104,-97.2012616,salad
Freshii,49.9060914,-97.2248404,salad
Fusian Experience,49.8871343,-97.1314192,asian
Original Joe's,49.857721,-97.2061881,bar_and_grill
Sizzling Dhaba,49.8307254,-97.0883993,indian
Layla's Cafe and Hookah Lounge,49.8168465,-97.1920372,
Carnaval,49.8972717,-97.1339152,brazilian
Salisbury House,49.8963787,-97.1375281,diner; canadian
Sushi Gen,49.8901873,-97.1522382,japanese
IHOP,49.8427961,-97.2119861,breakfast;pancake
Smitty's,49.8657722,-97.1456845,pancake;diner;pub
Mooshiro Japanese Cuisine,49.8874733,-97.1614945,japanese
Sous Sol Osborne,49.8757172,-97.1423234,french
Pizza 204,49.8742605,-97.2005298,pizza
Pizza Gong,49.8256667,-97.1151771,pizza
Lamar Donair & Burgers,49.8260385,-97.1104392,
Block & Blade,49.8334284,-97.0457877,
Spice Circle,49.8781027,-97.1453073,
Buvette,49.8795238,-97.1410727,
Pizza Hut,49.8789962,-97.2230958,pizza
Cindy's Burgers & Subs,49.8852162,-97.1699891,burger;sandwich
Hi-Ball Restaurant,49.8739494,-97.1848324,chinese
The Don Restaurant,49.8881675,-97.1407676,
Sushi Jet,49.8033617,-97.1575763,sushi
East India Company,49.8888157,-97.1433311,indian
Salisbury House,49.9450237,-97.1107537,
Saburo Kitchen,49.8914253,-97.1440535,noodle
Sorrento's,49.8970542,-97.0591321,pizza
Zaytoon,49.8787233,-97.1463269,mediterranean;middle_eastern
Pho Hoang,49.8783607,-97.1459686,vietnamese
Capital Bar & Grill,49.8883071,-97.1385154,burger;pizza;fish_and_chips;steak_house;regional
Amsterdam Tea Room,49.8979945,-97.1400986,
Chosabi,49.8980978,-97.1414217,asian
Jane's,49.8988429,-97.1393815,
Spicy Grill,49.8782648,-97.1459034,indian;hakka
Wakoya Sushi,49.8767922,-97.1439952,sushi
Oakwood,49.863144,-97.1322987,
Desi Swag East Indian Restaurant,49.8281683,-97.1157613,indian
Freshii,49.8247918,-97.2027142,salad
OPA! of Greece,49.8247352,-97.2028382,greek
Freshii,49.9540778,-97.0969341,salad
Sushi Ya,49.8719892,-97.1502013,japanese
Arabesque Hookah Cafe & Restaurant,49.8720054,-97.1501647,turkish
The Roost on Corydon,49.8721112,-97.1498767,
Gohe Ethiopian Restaurant,49.9005681,-97.1559293,
Asian Hot Pot,49.8705746,-97.1530156,chinese;hotpot
Hello Asian Fusion,49.8708438,-97.153601,asian
Earls,49.8935205,-97.1378583,american
Bobo,49.9261159,-97.1251961,chinese
Santa Lucia's,49.9278665,-97.1235693,pizza;italian
Asia City,49.9434291,-97.1570434,
Kokeb,49.8916576,-97.1469886,ethiopian;african
Honu Poke,49.8907258,-97.1409216,poke
OEB,49.8938906,-97.1382401,breakfast
Passero,49.8703355,-97.1542421,
Carne Italian Chophouse,49.8895545,-97.1400575,steak_house;italian
Damecca,49.8837614,-97.2037052,
Akindo Sushi Bistro,49.8782408,-97.1458827,sushi
Freshii,49.8906543,-97.1431093,salad
Gusto North,49.8910179,-97.1443137,pizza
Ichiban,49.8897732,-97.1440823,steak_house;teppanyaki;japanese;sushi
East Ocean,49.8950338,-97.1459131,chinese
White Star Diner,49.8912204,-97.1482349,diner
Boston Pizza,49.8905895,-97.1428077,pizza
Nick's On Broadway,49.8881001,-97.139259,
Greenish,49.8926381,-97.1456308,
Saperavi,49.871411,-97.1520967,georgian
Blaze Restaurant and Lounge,49.8900522,-97.143632,
The Grill East Indian Cuisine & Bar,49.8229173,-97.1494903,indian
Max's Restaurant,49.9020399,-97.1990672,philippines
Simon's Steaks,49.8870453,-97.1311337,steak_house
Stella's,49.9526341,-97.0762088,
Pizza Hotline,49.9529909,-97.0758144,pizza
Thida's,49.8869553,-97.1400741,thai
La Taqueria Mexican Street Tacos,49.8842698,-97.2168686,mexican
Kim Tuong Express,49.8978337,-97.1799197,thai
Pronto Pizzeria,49.8425526,-97.2182563,pizza
St. Louis Bar & Grill,49.8430508,-97.2189952,chicken
The Chopped Leaf,49.8431165,-97.2189644,salad
D Spot Dessert Café,49.8432185,-97.2188959,dessert;coffee;cafe;ice_cream;waffles
Phở Hoang Seasons,49.8428663,-97.2147775,vietnamese
Taste of Sri Lanka,49.8420994,-97.2153939,
Kinton Ramen,49.8439917,-97.2107863,ramen
Banza Noodle & Tea House,49.8819803,-97.1597409,noodle;chinese
Aroma Bistro,49.8868731,-97.13134,asian
Danny's All Day Breakfast and Brunch,49.8868506,-97.131269,breakfast;brunch
Papa Ed's Pizza,49.8821382,-97.1645561,pizza
Mesob,49.8782019,-97.1459474,ethiopian
Kuma Sushi,49.8791535,-97.1460743,sushi
Poké Mono,49.8860914,-97.1435266,
Honba Sushi,49.8823738,-97.1256365,sushi
Seine River Café,49.89409,-97.1115742,breakfast;chicken;coffee_shop;crepe;diner;sandwich
Oriental Bowl,49.8765622,-97.1438063,chinese
Zorba's,49.8871484,-97.1311497,greek
Taste of Sri Lanka,49.8871181,-97.1310574,asian;sri_lankan
Basta!,49.8869653,-97.1312776,asian;filipino
K&S Island Grill,49.8774317,-97.2318415,jamaican
La Pampa Empanadas Gourmet,49.8566521,-97.1871807,argentinian;empanada
La Pampa Empanadas Gourmet,49.821853,-97.1140505,argentinian;empanada
Little Saigon Restaurant,49.9002065,-97.1428432,vietnamese
Little Nana's Italian Kitchen,49.9029609,-97.1647132,italian
Garbonzo's,49.9050272,-97.1593212,pizza
Ben & Florentine,49.89891,-97.0657823,
State & Main,49.8979158,-97.0601272,american
Boston Pizza,49.8993388,-97.0695044,pizza
Perogy Planet,49.8786733,-97.2273247,ukrainian
Sushi Point,49.8946347,-97.1402274,sushi;ukrainian
Ashur,49.8650839,-97.1464585,kebab;middle_eastern
Freshii,49.8523987,-97.167267,salad
Dalat,49.8521809,-97.1660314,Chinese;Vietnamese
Pizza Hut,49.9431899,-97.0865527,pizza
Mr Kim’s Korean Fried Chicken,49.8907142,-97.1407553,korean;chicken
Seoul Dak,49.8550571,-97.1115761,korean;chicken
Aroma Bistro,49.8548042,-97.1114629,asian
Degrees,49.8093674,-97.1339985,
Commonwealth Kitchen,49.8973503,-97.1392436,
Kimchi Sushi,49.9425772,-97.1965582,asian
Tandoor House,49.9432416,-97.1965876,indian
Aristocrat Family Restaurant,49.93505,-97.1960867,filipino
Presto Pizza,49.935051,-97.1965742,pizza
East Lake Chinese Food,49.9350486,-97.1966172,chinese
Sei Sushi,49.8774591,-97.2341724,japanese;korean;sushi
Bistro Dansk,49.8806041,-97.1594024,bavarian
Sukhothai Restaurant,49.8762446,-97.1435914,thai
Aburi Sushi,49.8713347,-97.1443627,sushi
Ramallah Cafe,49.8711953,-97.144392,mediterranean
Evergreen Restaurant,49.8710694,-97.1444466,chinese
Tegaru Restaurant,49.937685,-97.1967024,chinese
Bull & Filly,49.9523474,-97.077305,
Le Colonial,49.8813389,-97.1189284,vietnamese
Hy's,49.8959117,-97.1381556,steak_house
Croffle Pop,49.9197478,-97.1560098,croissant;waffle;bakery
Unnamed Restaurant,49.8710295,-97.1522707,
