name,latitude,longitude,stop_number,direction,street
Southbound Castlebrook at Windflower,49.78022,-97.20777,62040,Southbound,Castlebrook Drive
Northbound Castlebrook at Windflower,49.78042,-97.20771,62039,Northbound,Castlebrook Drive
Westbound Skyline at Kilroy,49.77932,-97.20401,62038,Westbound,Skyline Drive
Eastbound Skyline at Berry Hill,49.77923,-97.20369,62041,Eastbound,Skyline Drive
Westbound Skyline at Highpark,49.77985,-97.20002,62080,Westbound,Skyline Drive
Eastbound Skyline at Highpark,49.77981,-97.1997,62079,Eastbound,Skyline Drive
Southbound Eaglewood at Kilroy,49.78223,-97.19918,62037,Southbound,Eaglewood Drive
Northbound Eaglewood at Kilroy,49.78241,-97.19912,62033,Northbound,Eaglewood Drive
Southbound Eaglewood at Longspur,49.78051,-97.19679,62022,Southbound,Eaglewood Drive
Northbound Eaglewood at Longspur,49.78015,-97.19626,62021,Northbound,Eaglewood Drive
Eastbound Bridge Lake at Del Monica (School Charter),49.78397,-97.19707,63012,Eastbound,Bridge Lake Drive
Northbound Waverley at Firestone,49.77476,-97.19844,62116,Northbound,Waverley Street
Southbound Waverley at Firestone,49.77418,-97.19917,62118,Southbound,Waverley Street
Southbound Eaglewood at Waverley,49.77803,-97.19528,62075,Southbound,Eaglewood Drive
Northbound Eaglewood at Waverley,49.77823,-97.19512,62078,Northbound,Eaglewood Drive
Southbound Bridge Lake at Del Monica,49.78455,-97.19683,62074,Southbound,Bridge Lake Drive
Southbound Waverley at Youngstown,49.77229,-97.20223,62119,Southbound,Waverley Street
Northbound Waverley at Youngstown,49.77208,-97.20235,62117,Northbound,Waverley Street
Southbound Ken Oblik at Waverley,49.77658,-97.19439,63014,Southbound,Ken Oblik Drive
Southbound Bridge Lake at South Town,49.78783,-97.20011,62035,Southbound,Bridge Lake Drive
Southbound Bridge Lake at Valley Brook,49.78693,-97.19716,62036,Southbound,Bridge Lake Drive
Northbound Bridge Lake at Stone Meadow,49.78728,-97.19774,62034,Northbound,Bridge Lake Drive
Westbound Ken Oblik at Youngstown,49.7701,-97.20228,62088,Westbound,Ken Oblik Drive
Northbound Bridge Lake at Willow Creek,49.78975,-97.20157,62094,Northbound,Bridge Lake Drive
Eastbound Ken Oblik at Youngstown,49.76998,-97.20236,62111,Eastbound,Ken Oblik Drive
